beginpoint,endpoint,period,libsetup,checktype,required,arrival,slack,launchclk,captureclk,skew,fanout,netdelay,netcount,instcount,invdelay,bufdelay,combodelay,seqdelay,totaldelay,invcount,bufcount,combocount,seqcount,portcount,load,wirelength
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[8]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[8]/D,1.200,0.159,Setup Check,1.041,2.191,-1.15,-0.155,0.0,0.155,128,0.052,19,19,0.203,0.0,1.9390000000000005,0.15,0.0,3,0,15,1,0,0.164,401.761
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[9]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[9]/D,1.200,0.113,Setup Check,1.087,2.279,-1.192,-0.155,0.0,0.155,128,0.05,20,20,0.203,0.0,2.029,0.15,0.0,3,0,16,1,0,0.162,405.4599999999999
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mscratch_csr_RC_CG_HIER_INST61/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.008,2.344,-1.337,-0.155,-0.087,0.068,139,0.032,29,29,0.546,0.0,1.7709999999999997,0.15,0.0,5,0,23,1,0,0.207,521.6160000000001
/rst_ni,cs_registers_i_u_mscratch_csr_rdata_q_reg[0]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mscratch_csr_rdata_q_reg[0]/D,1.200,0.091,Setup Check,1.109,2.149,-1.04,-0.155,0.0,0.155,130,0.026,19,19,0.323,0.0,1.803,0.15,0.0,4,0,14,1,0,0.15,331.356
/rst_ni,cs_registers_i_u_mscratch_csr_rdata_q_reg[10]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mscratch_csr_rdata_q_reg[10]/D,1.200,0.137,Setup Check,1.063,2.204,-1.14,-0.155,0.0,0.155,127,0.039,19,19,0.203,0.0,1.966,0.15,0.0,3,0,15,1,0,0.15,346.896
/rst_ni,cs_registers_i_u_mscratch_csr_rdata_q_reg[11]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
